,agent,time,event,next_position,travel_time,moving,waiting,task,position,picked_up_item,locked_item
6623,140215394840928,4677.095965590806,pick_up_start,,,0,0,1,140215394843328.0,,140215398204176.0
6624,140215394819904,4677.163279145674,moving_end,,,0,0,1,140215394843328.0,140215395827232.0,140215395827232.0
6625,140215394819904,4677.163279145674,store_item_start,,,0,0,1,140215394843328.0,140215395827232.0,140215395827232.0
6626,140215394840928,4677.195965590807,pick_up_end,,,0,0,1,140215394843328.0,140215398204176.0,140215398204176.0
6627,140215394840928,4677.195965590807,moving_start,140215394844432.0,0.6666666666666666,1,0,1,,140215398204176.0,140215398204176.0
6628,140215394819904,4677.2632791456745,store_item_end,,,0,0,1,140215394843328.0,,140215395827232.0
6629,140215394819904,4677.2632791456745,end_of_main_process,,,0,0,0,140215394843328.0,,
6630,140215394840928,4677.862632257474,moving_end,,,0,0,1,140215394844432.0,140215398204176.0,140215398204176.0
6631,140215394840928,4677.862632257474,store_item_start,,,0,0,1,140215394844432.0,140215398204176.0,140215398204176.0
6632,140215394840928,4677.962632257474,store_item_end,,,0,0,1,140215394844432.0,,140215398204176.0
6633,140215394840928,4677.962632257474,end_of_main_process,,,0,0,0,140215394844432.0,,
6634,140215394819904,4684.976982021639,start_task,,,0,0,1,140215394843328.0,,
6635,140215394819904,4684.976982021639,pick_up_start,,,0,0,1,140215394843328.0,,140215395827232.0
6636,140215394819904,4685.076982021639,pick_up_end,,,0,0,1,140215394843328.0,140215395827232.0,140215395827232.0
6637,140215394819904,4685.076982021639,moving_start,140215394818800.0,0.6666666666666666,1,0,1,,140215395827232.0,140215395827232.0
6638,140215394819904,4685.743648688306,moving_end,,,0,0,1,140215394818800.0,140215395827232.0,140215395827232.0
6639,140215394819904,4685.743648688306,store_item_start,,,0,0,1,140215394818800.0,140215395827232.0,140215395827232.0
6640,140215394819904,4685.8436486883065,store_item_end,,,0,0,1,140215394818800.0,,140215395827232.0
6641,140215394946928,4685.8436486883065,start_task,,,0,0,1,140215394819088.0,,
6642,140215394946928,4685.8436486883065,moving_start,140215394818800.0,2.8666666666666667,1,0,1,,,140215395827232.0
6643,140215394819904,4685.8436486883065,end_of_main_process,,,0,0,0,140215394818800.0,,
6644,140215394819904,4686.375688245238,start_task,,,0,0,1,140215394818800.0,,
6645,140215394819904,4686.375688245238,moving_start,140215394844432.0,0.6666666666666666,1,0,1,,,140215398204176.0
6646,140215394819904,4687.042354911905,moving_end,,,0,0,1,140215394844432.0,,140215398204176.0
6647,140215394819904,4687.042354911905,pick_up_start,,,0,0,1,140215394844432.0,,140215398204176.0
6648,140215394819904,4687.142354911905,pick_up_end,,,0,0,1,140215394844432.0,140215398204176.0,140215398204176.0
6649,140215394819904,4687.142354911905,moving_start,140215394843328.0,0.6666666666666666,1,0,1,,140215398204176.0,140215398204176.0
6650,140215394819904,4687.809021578572,moving_end,,,0,0,1,140215394843328.0,140215398204176.0,140215398204176.0
6651,140215394819904,4687.809021578572,store_item_start,,,0,0,1,140215394843328.0,140215398204176.0,140215398204176.0
6652,140215394819904,4687.909021578573,store_item_end,,,0,0,1,140215394843328.0,,140215398204176.0
6653,140215394819904,4687.909021578573,end_of_main_process,,,0,0,0,140215394843328.0,,
6654,140215394946928,4688.710315354973,moving_end,,,0,0,1,140215394818800.0,,140215395827232.0
6655,140215394946928,4688.710315354973,pick_up_start,,,0,0,1,140215394818800.0,,140215395827232.0
6656,140215394946928,4688.810315354974,pick_up_end,,,0,0,1,140215394818800.0,140215395827232.0,140215395827232.0
6657,140215394946928,4688.810315354974,moving_start,140215394945968.0,0.5,1,0,1,,140215395827232.0,140215395827232.0
6658,140215394946928,4689.310315354974,moving_end,,,0,0,1,140215394945968.0,140215395827232.0,140215395827232.0
6659,140215394946928,4689.310315354974,store_item_start,,,0,0,1,140215394945968.0,140215395827232.0,140215395827232.0
6660,140215394946928,4689.410315354974,store_item_end,,,0,0,1,140215394945968.0,,140215395827232.0
6661,140215394946928,4689.410315354974,end_of_main_process,,,0,0,0,140215394945968.0,,
6662,140215394819904,4696.322077566337,start_task,,,0,0,1,140215394843328.0,,
6663,140215394819904,4696.322077566337,pick_up_start,,,0,0,1,140215394843328.0,,140215398204176.0
6664,140215394819904,4696.422077566337,pick_up_end,,,0,0,1,140215394843328.0,140215398204176.0,140215398204176.0
6665,140215394819904,4696.422077566337,moving_start,140215394818800.0,0.6666666666666666,1,0,1,,140215398204176.0,140215398204176.0
6666,140215394819904,4697.088744233004,moving_end,,,0,0,1,140215394818800.0,140215398204176.0,140215398204176.0
6667,140215394819904,4697.088744233004,store_item_start,,,0,0,1,140215394818800.0,140215398204176.0,140215398204176.0
6668,140215394819904,4697.188744233004,store_item_end,,,0,0,1,140215394818800.0,,140215398204176.0
6669,140215394946928,4697.188744233004,start_task,,,0,0,1,140215394945968.0,,
6670,140215394946928,4697.188744233004,moving_start,140215394818800.0,0.5,1,0,1,,,140215398204176.0
6671,140215394819904,4697.188744233004,end_of_main_process,,,0,0,0,140215394818800.0,,
6672,140215394946928,4697.688744233004,moving_end,,,0,0,1,140215394818800.0,,140215398204176.0
6673,140215394946928,4697.688744233004,pick_up_start,,,0,0,1,140215394818800.0,,140215398204176.0
6674,140215394946928,4697.788744233005,pick_up_end,,,0,0,1,140215394818800.0,140215398204176.0,140215398204176.0
6675,140215394946928,4697.788744233005,moving_start,140215394945968.0,0.5,1,0,1,,140215398204176.0,140215398204176.0
6676,140215394946928,4698.288744233005,moving_end,,,0,0,1,140215394945968.0,140215398204176.0,140215398204176.0
6677,140215394946928,4698.288744233005,store_item_start,,,0,0,1,140215394945968.0,140215398204176.0,140215398204176.0
6678,140215394946928,4698.388744233005,store_item_end,,,0,0,1,140215394945968.0,,140215398204176.0
6679,140215394946928,4698.388744233005,end_of_main_process,,,0,0,0,140215394945968.0,,
6680,140215394946928,4730.186398351807,start_task,,,0,0,1,140215394945968.0,,
6681,140215394946928,4730.186398351807,moving_start,140215394819520.0,3.0666666666666664,1,0,1,,,140215394841888.0
6682,140215394946400,4733.19393883967,start_task,,,0,0,1,140215394819088.0,,
6683,140215394946400,4733.19393883967,moving_start,140215394819520.0,0.5,1,0,1,,,140215395203728.0
6684,140215394946928,4733.2530650184735,moving_end,,,0,0,1,140215394819520.0,,140215394841888.0
6685,140215394946928,4733.2530650184735,pick_up_start,,,0,0,1,140215394819520.0,,140215394841888.0
6686,140215394946928,4733.353065018474,pick_up_end,,,0,0,1,140215394819520.0,140215394841888.0,140215394841888.0
6687,140215394946928,4733.353065018474,moving_start,140215394819088.0,0.5,1,0,1,,140215394841888.0,140215394841888.0
6688,140215394946400,4733.69393883967,moving_end,,,0,0,1,140215394819520.0,,140215395203728.0
6689,140215394946400,4733.69393883967,pick_up_start,,,0,0,1,140215394819520.0,,140215395203728.0
6690,140215394946400,4733.793938839671,pick_up_end,,,0,0,1,140215394819520.0,140215395203728.0,140215395203728.0
6691,140215394946400,4733.793938839671,moving_start,140215394819088.0,0.5,1,0,1,,140215395203728.0,140215395203728.0
6692,140215394946928,4733.853065018474,moving_end,,,0,0,1,140215394819088.0,140215394841888.0,140215394841888.0
6693,140215394946928,4733.853065018474,store_item_start,,,0,0,1,140215394819088.0,140215394841888.0,140215394841888.0
6694,140215394946928,4733.953065018474,store_item_end,,,0,0,1,140215394819088.0,,140215394841888.0
6695,140215394819904,4733.953065018474,start_task,,,0,0,1,140215394818800.0,,
6696,140215394840928,4733.953065018474,start_task,,,0,0,1,140215394844432.0,,
6697,140215394819904,4733.953065018474,moving_start,140215394819088.0,0.6666666666666666,1,0,1,,,140215394841888.0
6698,140215394840928,4733.953065018474,moving_start,140215394843712.0,1.0,1,0,1,,,140215395825504.0
6699,140215394946928,4733.953065018474,end_of_main_process,,,0,0,0,140215394819088.0,,
6700,140215394946400,4734.293938839671,moving_end,,,0,0,1,140215394819088.0,140215395203728.0,140215395203728.0
6701,140215394946400,4734.293938839671,store_item_start,,,0,0,1,140215394819088.0,140215395203728.0,140215395203728.0
6702,140215394946400,4734.393938839671,store_item_end,,,0,0,1,140215394819088.0,,140215395203728.0
6703,140215394841168,4734.393938839671,start_task,,,0,0,1,140215394843712.0,,
6704,140215394841168,4734.393938839671,moving_start,140215394819088.0,1.0,1,0,1,,,140215395203728.0
6705,140215394946400,4734.393938839671,end_of_main_process,,,0,0,0,140215394819088.0,,
6706,140215394819904,4734.619731685141,moving_end,,,0,0,1,140215394819088.0,,140215394841888.0
6707,140215394819904,4734.619731685141,pick_up_start,,,0,0,1,140215394819088.0,,140215394841888.0
6708,140215394819904,4734.719731685142,pick_up_end,,,0,0,1,140215394819088.0,140215394841888.0,140215394841888.0
6709,140215394819904,4734.719731685142,moving_start,140215394843712.0,1.0,1,0,1,,140215394841888.0,140215394841888.0
6710,140215394840928,4734.953065018474,moving_end,,,0,0,1,140215394843712.0,,140215395825504.0
6711,140215394840928,4734.953065018474,pick_up_start,,,0,0,1,140215394843712.0,,140215395825504.0
6712,140215394840928,4735.053065018475,pick_up_end,,,0,0,1,140215394843712.0,140215395825504.0,140215395825504.0
6713,140215394840928,4735.053065018475,moving_start,140215394844000.0,0.6666666666666666,1,0,1,,140215395825504.0,140215395825504.0
6714,140215394841168,4735.393938839671,moving_end,,,0,0,1,140215394819088.0,,140215395203728.0
6715,140215394841168,4735.393938839671,pick_up_start,,,0,0,1,140215394819088.0,,140215395203728.0
6716,140215394841168,4735.4939388396715,pick_up_end,,,0,0,1,140215394819088.0,140215395203728.0,140215395203728.0
6717,140215394841168,4735.4939388396715,moving_start,140215394843328.0,0.6666666666666666,1,0,1,,140215395203728.0,140215395203728.0
6718,140215394819904,4735.719731685142,moving_end,,,0,0,1,140215394843712.0,140215394841888.0,140215394841888.0
6719,140215394840928,4735.719731685142,moving_end,,,0,0,1,140215394844000.0,140215395825504.0,140215395825504.0
6720,140215394819904,4735.719731685142,store_item_start,,,0,0,1,140215394843712.0,140215394841888.0,140215394841888.0
6721,140215394840928,4735.719731685142,store_item_start,,,0,0,1,140215394844000.0,140215395825504.0,140215395825504.0
6722,140215394819904,4735.819731685142,store_item_end,,,0,0,1,140215394843712.0,,140215394841888.0
6723,140215394840928,4735.819731685142,store_item_end,,,0,0,1,140215394844000.0,,140215395825504.0
6724,140215394819904,4735.819731685142,end_of_main_process,,,0,0,0,140215394843712.0,,
6725,140215394840928,4735.819731685142,end_of_main_process,,,0,0,0,140215394844000.0,,
6726,140215394841168,4736.1606055063385,moving_end,,,0,0,1,140215394843328.0,140215395203728.0,140215395203728.0
6727,140215394841168,4736.1606055063385,store_item_start,,,0,0,1,140215394843328.0,140215395203728.0,140215395203728.0
6728,140215394841168,4736.260605506339,store_item_end,,,0,0,1,140215394843328.0,,140215395203728.0
6729,140215394841168,4736.260605506339,end_of_main_process,,,0,0,0,140215394843328.0,,
6730,140215394819904,4741.860182476449,start_task,,,0,0,1,140215394843712.0,,
6731,140215394819904,4741.860182476449,moving_start,140215394844000.0,0.6666666666666666,1,0,1,,,140215395825504.0
6732,140215394819904,4742.526849143116,moving_end,,,0,0,1,140215394844000.0,,140215395825504.0
6733,140215394819904,4742.526849143116,pick_up_start,,,0,0,1,140215394844000.0,,140215395825504.0
6734,140215394819904,4742.6268491431165,pick_up_end,,,0,0,1,140215394844000.0,140215395825504.0,140215395825504.0
6735,140215394819904,4742.6268491431165,moving_start,140215394843712.0,0.6666666666666666,1,0,1,,140215395825504.0,140215395825504.0
6736,140215394819904,4743.2935158097835,moving_end,,,0,0,1,140215394843712.0,140215395825504.0,140215395825504.0
6737,140215394819904,4743.2935158097835,store_item_start,,,0,0,1,140215394843712.0,140215395825504.0,140215395825504.0
6738,140215394819904,4743.393515809784,store_item_end,,,0,0,1,140215394843712.0,,140215395825504.0
6739,140215394819904,4743.393515809784,end_of_main_process,,,0,0,0,140215394843712.0,,
6740,140215394819904,4786.074408606095,start_task,,,0,0,1,140215394843712.0,,
6741,140215394819904,4786.074408606095,pick_up_start,,,0,0,1,140215394843712.0,,140215394841888.0
6742,140215394819904,4786.174408606095,pick_up_end,,,0,0,1,140215394843712.0,140215394841888.0,140215394841888.0
6743,140215394819904,4786.174408606095,moving_start,140215394844000.0,0.6666666666666666,1,0,1,,140215394841888.0,140215394841888.0
6744,140215394819904,4786.841075272762,moving_end,,,0,0,1,140215394844000.0,140215394841888.0,140215394841888.0
6745,140215394819904,4786.841075272762,store_item_start,,,0,0,1,140215394844000.0,140215394841888.0,140215394841888.0
6746,140215394819904,4786.941075272763,store_item_end,,,0,0,1,140215394844000.0,,140215394841888.0
6747,140215394819904,4786.941075272763,end_of_main_process,,,0,0,0,140215394844000.0,,
6748,140215394819904,4792.114859397402,start_task,,,0,0,1,140215394844000.0,,
6749,140215394819904,4792.114859397402,moving_start,140215394843712.0,0.6666666666666666,1,0,1,,,140215395825504.0
