,item,time,event,started,over_due,blocked,tasks_finished,completed,picked_up,transportation,processing,wait_for_repair,tasks_remaining,cell,position,position_type,picked_up_by,locked_by
99,140347423539008,150.61784817478508,picked_up,1,0,0,0,0,1,0,0,0,1,140347423537472.0,,None,140347423536800.0,140347423536800.0
100,140347423539008,150.61784817478508,transportation_start,1,0,0,0,0,1,1,0,0,1,140347423537472.0,,None,140347423536800.0,140347423536800.0
101,140347423539008,151.11784817478508,transportation_end,1,0,0,0,0,1,0,0,0,1,140347423537472.0,140347423537040.0,Machine,140347423536800.0,140347423536800.0
102,140347423539008,151.21784817478508,put_down,1,0,0,0,0,0,0,0,0,1,140347423537472.0,140347423537040.0,Machine,,140347423536800.0
103,140347423539008,151.21784817478508,unlocked,1,0,0,0,0,0,0,0,0,1,140347423537472.0,140347423537040.0,Machine,,
104,140347423539008,156.21784817478508,processing_start,1,0,0,0,0,0,0,1,0,1,140347423537472.0,140347423537040.0,Machine,,
105,140347423539008,162.23285438267828,processing_finished,1,0,0,1,0,0,0,0,0,0,140347423537472.0,140347423537040.0,Machine,,
106,140347423539008,162.33285438267828,locked,1,0,0,1,0,0,0,0,0,0,140347423537472.0,140347423537040.0,Machine,,140347423536800.0
107,140347423539008,162.43285438267827,picked_up,1,0,0,1,0,1,0,0,0,0,140347423537472.0,,None,140347423536800.0,140347423536800.0
108,140347423539008,162.43285438267827,transportation_start,1,0,0,1,0,1,1,0,0,0,140347423537472.0,,None,140347423536800.0,140347423536800.0
109,140347423539008,162.93285438267827,transportation_end,1,0,0,1,0,1,0,0,0,0,140347423537472.0,140347423535888.0,InterfaceBuffer,140347423536800.0,140347423536800.0
110,140347423539008,163.03285438267827,cell_change,1,0,0,1,0,1,0,0,0,0,140347423537472.0,140347423535888.0,InterfaceBuffer,140347423536800.0,140347423536800.0
111,140347423539008,163.03285438267827,put_down,1,0,0,1,0,0,0,0,0,0,140347423616016.0,140347423535888.0,InterfaceBuffer,,140347423536800.0
112,140347423539008,163.03285438267827,unlocked,1,0,0,1,0,0,0,0,0,0,140347423616016.0,140347423535888.0,InterfaceBuffer,,
113,140347423539008,163.03285438267827,locked,1,0,0,1,0,0,0,0,0,0,140347423616016.0,140347423535888.0,InterfaceBuffer,,140347423614576.0
114,140347423539008,164.33285438267825,picked_up,1,0,0,1,0,1,0,0,0,0,140347423616016.0,,None,140347423614576.0,140347423614576.0
115,140347423539008,164.33285438267825,transportation_start,1,0,0,1,0,1,1,0,0,0,140347423616016.0,,None,140347423614576.0,140347423614576.0
116,140347423539008,165.08285438267825,transportation_end,1,0,0,1,0,1,0,0,0,0,140347423616016.0,140347423613760.0,InterfaceBuffer,140347423614576.0,140347423614576.0
117,140347423539008,165.18285438267824,cell_change,1,0,0,1,0,1,0,0,0,0,140347423616016.0,140347423613760.0,InterfaceBuffer,140347423614576.0,140347423614576.0
