,machine,time,event,est_time,next_setup_type,current_setup_type,load_item,manufacturing,setup,idle,repair,item_in_input,item_in_machine,item_in_output
93,140383847074688,143.41972850369942,production_end,,,140383846907520.0,0,0,0,1,0,,140383847389648.0,
94,140383847074688,143.41972850369942,release_item_start,,,140383846907520.0,0,0,0,0,0,,140383847389648.0,
95,140383847074688,143.5197285036994,release_item_end,,,140383846907520.0,0,0,0,1,0,,,140383847389648.0
96,140383847074688,148.88639517036603,item_stored,,,140383846907520.0,0,0,0,1,0,140383847074592.0,,
97,140383847074688,148.88639517036603,load_item_start,,,140383846907520.0,1,0,0,0,0,140383847074592.0,,
98,140383847074688,148.98639517036602,load_item_end,,,140383846907520.0,0,0,0,1,0,,140383847074592.0,
99,140383847074688,148.98639517036602,production_start,6.0,,140383846907520.0,0,1,0,0,0,,140383847074592.0,
100,140383847074688,154.98639517036602,production_end,,,140383846907520.0,0,0,0,1,0,,140383847074592.0,
101,140383847074688,154.98639517036602,release_item_start,,,140383846907520.0,0,0,0,0,0,,140383847074592.0,
102,140383847074688,155.08639517036602,release_item_end,,,140383846907520.0,0,0,0,1,0,,,140383847074592.0
103,140383847074688,158.12222222222218,item_stored,,,140383846907520.0,0,0,0,1,0,140383847390656.0,,
104,140383847074688,158.12222222222218,load_item_start,,,140383846907520.0,1,0,0,0,0,140383847390656.0,,
105,140383847074688,158.22222222222217,load_item_end,,,140383846907520.0,0,0,0,1,0,,140383847390656.0,
106,140383847074688,158.22222222222217,production_start,6.0,,140383846907520.0,0,1,0,0,0,,140383847390656.0,
107,140383847074688,164.22222222222217,production_end,,,140383846907520.0,0,0,0,1,0,,140383847390656.0,
108,140383847074688,164.22222222222217,release_item_start,,,140383846907520.0,0,0,0,0,0,,140383847390656.0,
109,140383847074688,164.32222222222217,release_item_end,,,140383846907520.0,0,0,0,1,0,,,140383847390656.0
110,140383847074688,170.1333333333333,item_stored,,,140383846907520.0,0,0,0,1,0,140383847073824.0,,
111,140383847074688,170.1333333333333,load_item_start,,,140383846907520.0,1,0,0,0,0,140383847073824.0,,
112,140383847074688,170.2333333333333,load_item_end,,,140383846907520.0,0,0,0,1,0,,140383847073824.0,
113,140383847074688,170.2333333333333,production_start,6.0,,140383846907520.0,0,1,0,0,0,,140383847073824.0,
114,140383847074688,176.2333333333333,production_end,,,140383846907520.0,0,0,0,1,0,,140383847073824.0,
115,140383847074688,176.2333333333333,release_item_start,,,140383846907520.0,0,0,0,0,0,,140383847073824.0,
116,140383847074688,176.3333333333333,release_item_end,,,140383846907520.0,0,0,0,1,0,,,140383847073824.0
117,140383847074688,182.3999999999999,item_stored,,,140383846907520.0,0,0,0,1,0,140383847544000.0,,
118,140383847074688,182.3999999999999,load_item_start,,,140383846907520.0,1,0,0,0,0,140383847544000.0,,
119,140383847074688,182.4999999999999,load_item_end,,,140383846907520.0,0,0,0,1,0,,140383847544000.0,
120,140383847074688,182.4999999999999,production_start,6.0,,140383846907520.0,0,1,0,0,0,,140383847544000.0,
121,140383847074688,188.4999999999999,production_end,,,140383846907520.0,0,0,0,1,0,,140383847544000.0,
122,140383847074688,188.4999999999999,release_item_start,,,140383846907520.0,0,0,0,0,0,,140383847544000.0,
123,140383847074688,188.59999999999988,release_item_end,,,140383846907520.0,0,0,0,1,0,,,140383847544000.0
124,140383847074688,191.45555555555552,item_stored,,,140383846907520.0,0,0,0,1,0,140383847389456.0,,
125,140383847074688,191.45555555555552,load_item_start,,,140383846907520.0,1,0,0,0,0,140383847389456.0,,
126,140383847074688,191.55555555555551,load_item_end,,,140383846907520.0,0,0,0,1,0,,140383847389456.0,
127,140383847074688,191.55555555555551,production_start,6.0,,140383846907520.0,0,1,0,0,0,,140383847389456.0,
128,140383847074688,196.19976482909067,failure_start,23.628971707950807,,140383846907520.0,0,0,0,0,1,,140383847389456.0,
129,140383847074688,203.29999999999998,item_stored,,,140383846907520.0,0,0,0,0,1,140383847075312.0,140383847389456.0,
130,140383847074688,219.82873653704146,failure_end,,,140383846907520.0,0,1,0,0,0,140383847075312.0,140383847389456.0,
131,140383847074688,221.1845272635063,production_end,,,140383846907520.0,0,0,0,1,0,140383847075312.0,140383847389456.0,
132,140383847074688,221.1845272635063,release_item_start,,,140383846907520.0,0,0,0,0,0,140383847075312.0,140383847389456.0,
133,140383847074688,221.2845272635063,release_item_end,,,140383846907520.0,0,0,0,1,0,140383847075312.0,,140383847389456.0
134,140383847074688,221.2845272635063,load_item_start,,,140383846907520.0,1,0,0,0,0,140383847075312.0,,140383847389456.0
135,140383847074688,221.3845272635063,load_item_end,,,140383846907520.0,0,0,0,1,0,,140383847075312.0,140383847389456.0
136,140383847074688,221.3845272635063,production_start,6.0,,140383846907520.0,0,1,0,0,0,,140383847075312.0,140383847389456.0
137,140383847074688,223.35119393017297,item_stored,,,140383846907520.0,0,1,0,0,0,140383847075600.0,140383847075312.0,
138,140383847074688,227.3845272635063,production_end,,,140383846907520.0,0,0,0,1,0,140383847075600.0,140383847075312.0,
139,140383847074688,227.3845272635063,release_item_start,,,140383846907520.0,0,0,0,0,0,140383847075600.0,140383847075312.0,
140,140383847074688,227.4845272635063,release_item_end,,,140383846907520.0,0,0,0,1,0,140383847075600.0,,140383847075312.0
141,140383847074688,227.4845272635063,load_item_start,,,140383846907520.0,1,0,0,0,0,140383847075600.0,,140383847075312.0
142,140383847074688,227.5845272635063,load_item_end,,,140383846907520.0,0,0,0,1,0,,140383847075600.0,140383847075312.0
143,140383847074688,227.5845272635063,production_start,6.0,,140383846907520.0,0,1,0,0,0,,140383847075600.0,140383847075312.0
144,140383847074688,229.55119393017296,item_stored,,,140383846907520.0,0,1,0,0,0,140383847545440.0,140383847075600.0,
145,140383847074688,233.5845272635063,production_end,,,140383846907520.0,0,0,0,1,0,140383847545440.0,140383847075600.0,
146,140383847074688,233.5845272635063,release_item_start,,,140383846907520.0,0,0,0,0,0,140383847545440.0,140383847075600.0,
147,140383847074688,233.68452726350628,release_item_end,,,140383846907520.0,0,0,0,1,0,140383847545440.0,,140383847075600.0
148,140383847074688,233.68452726350628,load_item_start,,,140383846907520.0,1,0,0,0,0,140383847545440.0,,140383847075600.0
149,140383847074688,233.78452726350628,load_item_end,,,140383846907520.0,0,0,0,1,0,,140383847545440.0,
150,140383847074688,233.78452726350628,production_start,6.0,,140383846907520.0,0,1,0,0,0,,140383847545440.0,
151,140383847074688,236.79999999999995,item_stored,,,140383846907520.0,0,1,0,0,0,140383847146544.0,140383847545440.0,
152,140383847074688,239.78452726350628,production_end,,,140383846907520.0,0,0,0,1,0,140383847146544.0,140383847545440.0,
153,140383847074688,239.78452726350628,release_item_start,,,140383846907520.0,0,0,0,0,0,140383847146544.0,140383847545440.0,
154,140383847074688,239.88452726350627,release_item_end,,,140383846907520.0,0,0,0,1,0,140383847146544.0,,140383847545440.0
155,140383847074688,239.88452726350627,load_item_start,,,140383846907520.0,1,0,0,0,0,140383847146544.0,,140383847545440.0
156,140383847074688,239.98452726350627,load_item_end,,,140383846907520.0,0,0,0,1,0,,140383847146544.0,
157,140383847074688,239.98452726350627,production_start,6.0,,140383846907520.0,0,1,0,0,0,,140383847146544.0,
158,140383847074688,245.98452726350627,production_end,,,140383846907520.0,0,0,0,1,0,,140383847146544.0,
159,140383847074688,245.98452726350627,release_item_start,,,140383846907520.0,0,0,0,0,0,,140383847146544.0,
160,140383847074688,246.08452726350626,release_item_end,,,140383846907520.0,0,0,0,1,0,,,140383847146544.0
161,140383847074688,248.6511939301729,item_stored,,,140383846907520.0,0,0,0,1,0,140383847542992.0,,
162,140383847074688,248.6511939301729,load_item_start,,,140383846907520.0,1,0,0,0,0,140383847542992.0,,
163,140383847074688,248.7511939301729,load_item_end,,,140383846907520.0,0,0,0,1,0,,140383847542992.0,
164,140383847074688,248.7511939301729,production_start,6.0,,140383846907520.0,0,1,0,0,0,,140383847542992.0,
165,140383847074688,254.7511939301729,production_end,,,140383846907520.0,0,0,0,1,0,,140383847542992.0,
166,140383847074688,254.7511939301729,release_item_start,,,140383846907520.0,0,0,0,0,0,,140383847542992.0,
167,140383847074688,254.85119393017288,release_item_end,,,140383846907520.0,0,0,0,1,0,,,140383847542992.0
168,140383847074688,260.21786059683967,item_stored,,,140383846907520.0,0,0,0,1,0,140383847543472.0,,
169,140383847074688,260.21786059683967,load_item_start,,,140383846907520.0,1,0,0,0,0,140383847543472.0,,
170,140383847074688,260.3178605968397,load_item_end,,,140383846907520.0,0,0,0,1,0,,140383847543472.0,
171,140383847074688,260.3178605968397,production_start,6.0,,140383846907520.0,0,1,0,0,0,,140383847543472.0,
172,140383847074688,266.3178605968397,production_end,,,140383846907520.0,0,0,0,1,0,,140383847543472.0,
