,buffer,time,event,event_item,full,items_in_storage
183,140649310988128,55.61333333333334,item_stored,140649310990240.0,0,1
184,140649311044176,55.72333333333336,item_stored,140649313425920.0,0,1
185,140649310988128,55.84666666666667,item_picked_up,140649310990240.0,0,0
186,140649311064560,55.85000000000003,item_stored,140649315119168.0,0,0
187,140649312699584,56.080000000000005,item_stored,140649310990240.0,1,3
188,140649312699584,56.260000000000026,item_picked_up,140649310990240.0,0,2
189,140649311044176,56.59666666666669,item_picked_up,140649313425920.0,0,0
190,140649311045568,57.090000000000025,item_stored,140649313425920.0,0,1
191,140649311045568,57.47000000000003,item_picked_up,140649313425920.0,0,0
192,140649311047536,57.6,order_arrival,,0,1
193,140649311008800,57.73666666666669,item_stored,140649313425920.0,1,1
194,140649310988944,57.79689551969561,item_stored,140649312700400.0,0,1
195,140649311008800,57.97000000000003,item_picked_up,140649313425920.0,0,0
196,140649311047536,58.06666666666667,item_picked_up,140649311008464.0,0,0
197,140649310988944,58.20356218636228,item_picked_up,140649312700400.0,0,0
198,140649311010768,58.43333333333334,item_stored,140649311008464.0,0,1
199,140649311044176,58.53689551969561,item_stored,140649312700400.0,0,1
200,140649312699584,58.63022885302894,item_picked_up,140649313423760.0,0,1
201,140649311010768,58.88,item_picked_up,140649311008464.0,0,0
202,140649312700832,59.18000000000001,item_stored,140649311008464.0,0,1
203,140649311007408,59.39689551969562,item_stored,140649310989520.0,1,1
204,140649311044176,59.41022885302895,item_picked_up,140649312700400.0,0,0
205,140649312700832,59.41333333333334,item_picked_up,140649311008464.0,0,0
206,140649311007408,59.73689551969562,item_picked_up,140649310989520.0,0,0
207,140649311045568,59.90356218636228,item_stored,140649312700400.0,0,1
208,140649311045568,60.00356218636228,item_picked_up,140649312700400.0,0,0
209,140649311046144,60.00356218636229,item_stored,140649310989520.0,0,1
210,140649311006832,60.27022885302895,item_stored,140649312700400.0,1,1
211,140649311006832,60.50356218636228,item_picked_up,140649312700400.0,0,0
212,140649311046144,60.67689551969562,item_picked_up,140649310989520.0,0,0
213,140649311064560,61.14356218636229,item_stored,140649310989520.0,0,0
214,140649311047536,61.2,order_arrival,,0,1
215,140649311047536,61.913333333333334,item_picked_up,140649310990096.0,0,0
216,140649311010768,62.28,item_stored,140649310990096.0,0,1
217,140649312699584,62.47333333333337,item_stored,140649312701168.0,0,2
218,140649311010768,62.72666666666667,item_picked_up,140649310990096.0,0,0
219,140649311009376,62.960000000000036,item_stored,140649313425920.0,1,1
220,140649312700832,63.02666666666667,item_stored,140649310990096.0,0,1
221,140649311009376,63.2266666666667,item_picked_up,140649313425920.0,0,0
222,140649312700832,63.29333333333334,item_picked_up,140649310990096.0,0,0
223,140649311046144,63.49333333333337,item_stored,140649313425920.0,0,1
224,140649311046144,63.9866666666667,item_picked_up,140649313425920.0,0,0
225,140649311064560,64.45333333333336,item_stored,140649313425920.0,0,0
226,140649311047536,64.8,order_arrival,,0,1
227,140649310988944,64.84356218636228,item_stored,140649313426736.0,0,1
228,140649310988944,65.1368955196956,item_picked_up,140649313426736.0,0,0
229,140649311044176,65.47022885302893,item_stored,140649313426736.0,0,1
230,140649311047536,65.51333333333332,item_picked_up,140649310989664.0,0,0
231,140649312699584,65.61022885302894,item_picked_up,140649312701168.0,0,1
232,140649311044176,65.83689551969559,item_picked_up,140649313426736.0,0,0
233,140649311010768,65.87999999999998,item_stored,140649310989664.0,0,1
234,140649311007408,66.32356218636227,item_stored,140649312700400.0,1,1
235,140649311010768,66.32666666666664,item_picked_up,140649310989664.0,0,0
236,140649311045568,66.33022885302891,item_stored,140649313426736.0,0,1
237,140649311007408,66.59022885302893,item_picked_up,140649312700400.0,0,0
238,140649311045568,66.59689551969558,item_picked_up,140649313426736.0,0,0
239,140649310988128,66.65999999999997,item_stored,140649310989664.0,0,1
240,140649311046144,66.8568955196956,item_stored,140649312700400.0,0,1
241,140649311006832,66.86356218636224,item_stored,140649313426736.0,1,1
242,140649310988128,66.8933333333333,item_picked_up,140649310989664.0,0,0
243,140649311006832,67.09689551969558,item_picked_up,140649313426736.0,0,0
244,140649311046144,67.35022885302892,item_picked_up,140649312700400.0,0,0
245,140649311064560,67.81689551969558,item_stored,140649312700400.0,0,0
246,140649312701552,68.39,item_stored,140649310990000.0,0,1
247,140649311047536,68.4,order_arrival,,0,1
248,140649312701552,68.68333333333332,item_picked_up,140649310990000.0,0,0
249,140649311044176,68.98333333333332,item_stored,140649310990000.0,0,1
250,140649311047536,69.11333333333333,item_picked_up,140649310987552.0,0,0
251,140649312699584,69.38666666666668,item_stored,140649310990240.0,0,2
252,140649311044176,69.47666666666665,item_picked_up,140649310990000.0,0,0
253,140649311010768,69.47999999999999,item_stored,140649310987552.0,0,1
254,140649311010768,69.92666666666665,item_picked_up,140649310987552.0,0,0
255,140649311045568,69.96999999999997,item_stored,140649310990000.0,0,1
256,140649312700832,70.22666666666665,item_stored,140649310987552.0,0,1
257,140649311045568,70.34999999999997,item_picked_up,140649310990000.0,0,0
258,140649312700832,70.45999999999998,item_picked_up,140649310987552.0,0,0
259,140649311008800,70.61666666666663,item_stored,140649310990000.0,1,1
260,140649311008800,70.84999999999997,item_picked_up,140649310990000.0,0,0
261,140649310988944,71.82356218636228,item_stored,140649313423760.0,0,1
262,140649311047536,72.0,order_arrival,,0,1
263,140649310988944,72.1168955196956,item_picked_up,140649313423760.0,0,0
