0,12,x7fe533e4c8b0,136,250;0,0;0,2,[0],1
0,12,x7fe533e4c8b0,137,116;59457935083438,0;0,5,[4],0
0,12,x7fe533e4c8b0,138,250;0,1;0,2,[0],2
0,12,x7fe533e4c8b0,139,152;9579269709038,0;0,5,[5],1
0,12,x7fe533e4c8b0,140,250;0,0;0,2,[0],0
0,12,x7fe533e4c8b0,141,594;8532777468263,2;0,5,[1],2
0,12,x7fe533e4c8b0,142,150;00000001517262,0;0,5,[6],1
0,12,x7fe533e4c8b0,143,250;0,0;0,2,[0],1
0,12,x7fe533e4c8b0,144,149;99386182498932,0;0,5,[6],1
0,12,x7fe533e4c8b0,145,550;0,1;0,2,[0],1
0,12,x7fe533e4c8b0,146,250;0,0;0,5,[4],1
0,12,x7fe533e4c8b0,147,950;0,2;0,2,[0],1
0,12,x7fe533e4c8b0,148,449;99255934476935,1;0,5,[5],1
0,12,x7fe533e4c8b0,149,250;0,0;0,2,[0],1
0,12,x7fe533e4c8b0,150,550;0,1;0,5,[4],0
0,12,x7fe533e4c8b0,151,50;0,0;0,2,[1],1
0,12,x7fe533e4c8b0,152,950;0,2;0,5,[4],1
0,12,x7fe533e4c8b0,153,550;0,1;0,2,[0],2
0,12,x7fe533e4c8b0,154,153;2784507395906,0;0,5,[5],1
0,12,x7fe533e4c8b0,155,250;0,1;0,2,[0],2
0,12,x7fe533e4c8b0,156,335;2929670783499,1;0,5,[5],2
0,12,x7fe533e4c8b0,157,250;0,0;0,2,[0],0
0,12,x7fe533e4c8b0,158,148;67400786125089,1;0,5,[5],2
0,12,x7fe533e4c8b0,159,-50;0,0;0,2,[0],2
0,12,x7fe533e4c8b0,160,-17;531936676165028,0;0,5,[0],2
0,12,x7fe533e4c8b0,161,250;0,0;0,5,[4],1
0,12,x7fe533e4c8b0,162,250;0,0;0,2,[0],1
0,12,x7fe533e4c8b0,163,250;0,0;0,5,[4],1
0,12,x7fe533e4c8b0,164,650;0,2;0,2,[0],0
0,12,x7fe533e4c8b0,165,110;83681170426678,0;0,5,[0],1
0,12,x7fe533e4c8b0,166,162;70308545306435,0;0,5,[5],1
0,12,x7fe533e4c8b0,167,-50;0,0;0,2,[0],2
0,12,x7fe533e4c8b0,168,848;8042378229262,2;0,5,[5],1
0,12,x7fe533e4c8b0,169,50;0,0;0,2,[1],1
0,12,x7fe533e4c8b0,170,50;0,0;0,5,[1],1
0,12,x7fe533e4c8b0,171,250;0,0;0,5,[4],1
0,12,x7fe533e4c8b0,172,-50;0,0;0,2,[0],0
0,12,x7fe533e4c8b0,173,-8;742018396044969,0;0,5,[0],2
0,12,x7fe533e4c8b0,174,-50;0,0;0,5,[4],0
0,12,x7fe533e4c8b0,175,250;0,0;0,2,[0],1
0,12,x7fe533e4c8b0,176,149;72899276833252,0;0,5,[6],1
0,12,x7fe533e4c8b0,177,250;0,0;0,2,[0],1
0,12,x7fe533e4c8b0,178,170;3266420988274,0;0,5,[4],1
0,12,x7fe533e4c8b0,179,250;0,0;0,2,[0],1
0,12,x7fe533e4c8b0,180,149;87688529982702,0;0,5,[5],1
0,12,x7fe533e4c8b0,181,650;0,2;0,2,[0],2
0,12,x7fe533e4c8b0,182,545;4676801993444,2;0,5,[6],2
0,12,x7fe533e4c8b0,183,250;0,0;0,2,[0],2
0,12,x7fe533e4c8b0,184,250;0,0;0,4,[4],1
0,12,x7fe533e4c8b0,185,-50;0,0;0,2,[0],0
0,12,x7fe533e4c8b0,186,150;00191527930204,0;0,4,[5],1
0,12,x7fe533e4c8b0,187,-250;0,0;0,4,[0],2
0,12,x7fe533e4c8b0,188,100;0,0;0,3,[4],2
0,12,x7fe533e4c8b0,189,-50;0,0;0,3,[4],2
0,12,x7fe533e4c8b0,190,250;0,0;0,2,[4],1
0,12,x7fe533e4c8b0,191,250;0,0;0,2,[4],1
0,12,x7fe533e4c8b0,192,250;0,0;0,3,[4],1
0,12,x7fe533e4c8b0,193,150;0003486784401,0;0,3,[5],1
0,12,x7fe533e4c8b0,194,250;0,0;0,2,[4],1
0,12,x7fe533e4c8b0,195,250;0,0;0,3,[10],0
0,12,x7fe533e4c8b0,196,50;0,0;0,2,[5],1
0,12,x7fe533e4c8b0,197,50;0,0;0,2,[5],1
0,12,x7fe533e4c8b0,198,250;0,0;0,2,[4],0
0,12,x7fe533e4c8b0,199,250;0,0;0,4,[4],0
0,12,x7fe533e4c8b0,200,450;0000133983161,1;0,3,[5],1
0,12,x7fe533e4c8b0,201,50;0,0;0,3,[6],1
0,12,x7fe533e4c8b0,202,250;0,0;0,2,[4],1
0,12,x7fe533e4c8b0,203,650;0,2;0,2,[4],0
0,12,x7fe533e4c8b0,204,550;0,1;0,4,[4],1
0,12,x7fe533e4c8b0,205,-50;0,0;0,4,[4],0
0,12,x7fe533e4c8b0,206,250;0,0;0,5,[4],0
0,12,x7fe533e4c8b0,207,-50;0,0;0,2,[0],2
0,12,x7fe533e4c8b0,208,102;49801935994512,0;0,5,[4],0
0,12,x7fe533e4c8b0,209,250;0,0;0,2,[0],0
0,12,x7fe533e4c8b0,210,-174;77954216233076,0;0,5,[0],2
0,12,x7fe533e4c8b0,211,250;0,0;0,5,[4],1
0,12,x7fe533e4c8b0,212,250;0,0;0,2,[0],1
0,12,x7fe533e4c8b0,213,155;75610262867193,0;0,4,[5],1
0,12,x7fe533e4c8b0,214,-50;0,0;0,2,[0],0
0,12,x7fe533e4c8b0,215,148;47100340693055,0;0,4,[5],1
0,12,x7fe533e4c8b0,216,136;83127572016505,0;0,4,[6],1
0,12,x7fe533e4c8b0,217,250;0,0;0,3,[4],1
0,12,x7fe533e4c8b0,218,50;0,0;0,3,[6],1
0,12,x7fe533e4c8b0,219,250;0,0;0,2,[4],1
0,12,x7fe533e4c8b0,220,250;0,0;0,2,[4],1
0,12,x7fe533e4c8b0,221,397;1683038010737,1;0,4,[4],0
0,12,x7fe533e4c8b0,222,550;0,1;0,3,[4],0
0,12,x7fe533e4c8b0,223,-50;0,0;0,3,[4],0
0,12,x7fe533e4c8b0,224,950;0,2;0,2,[4],1
0,12,x7fe533e4c8b0,225,50;0,0;0,2,[5],1
0,12,x7fe533e4c8b0,226,150;0,0;0,3,[5],1
0,12,x7fe533e4c8b0,227,50;0,0;0,3,[6],1
0,12,x7fe533e4c8b0,228,50;0,0;0,2,[5],1
0,12,x7fe533e4c8b0,229,250;0,0;0,2,[4],0
0,12,x7fe533e4c8b0,230,153;85428164899744,0;0,5,[5],1
0,12,x7fe533e4c8b0,231,950;0,2;0,2,[0],1
0,12,x7fe533e4c8b0,232,849;9997854834705,2;0,5,[6],2
0,12,x7fe533e4c8b0,233,250;0,1;0,2,[0],0
0,12,x7fe533e4c8b0,234,421;33212715546387,1;0,5,[0],1
0,12,x7fe533e4c8b0,235,250;0,0;0,4,[4],1
0,12,x7fe533e4c8b0,236,132;01334353252236,0;0,5,[0],1
0,12,x7fe533e4c8b0,237,146;46186018226481,0;0,5,[4],0
0,12,x7fe533e4c8b0,238,50;0,0;0,2,[1],1
0,12,x7fe533e4c8b0,239,550;0,1;0,5,[4],1
0,12,x7fe533e4c8b0,240,50;0,0;0,2,[1],1
0,12,x7fe533e4c8b0,241,149;99999999775818,0;0,5,[5],1
0,12,x7fe533e4c8b0,242,-50;0,0;0,2,[0],0
0,12,x7fe533e4c8b0,243,92;73294433420679,0;0,5,[0],1
0,12,x7fe533e4c8b0,244,250;0,0;0,5,[4],1
0,12,x7fe533e4c8b0,245,950;0,2;0,2,[0],0
0,12,x7fe533e4c8b0,246,100;78782812500003,0;0,5,[5],0
0,12,x7fe533e4c8b0,247,250;0,0;0,2,[0],1
0,12,x7fe533e4c8b0,248,847;6407032722362,2;0,5,[5],1
